cycle_id,day,start_time,run_mode,fwd_torque_max,fwd_torque_mean,fwd_torque_std,fwd_velocity_max,fwd_duration,settle_torque_mean,settle_torque_std,settle_duration,ret_torque_min,ret_torque_mean,ret_torque_std,ret_velocity_min,ret_duration,total_duration
29,Apr 24,2026-04-24 10:31:53.863,0.0,,,,,0,0.04008629213483146,0.011663861459232268,178,-0.12864,-0.06693409742120343,0.03204878591854222,-502.778292,349,627
30,Apr 24,2026-04-24 10:32:31.894,0.0,,,,,0,0.03645830508474576,0.012974429373405413,177,-0.12992,-0.06701845272206304,0.03200994635133184,-503.315926,349,626
31,Apr 24,2026-04-24 10:33:09.715,0.0,,,,,0,0.03917016949152542,0.011353614386185592,177,-0.12416,-0.06705696275071635,0.031604183139230704,-503.361225,349,626
32,Apr 24,2026-04-24 10:33:47.522,0.0,,,,,0,0.03887728813559322,0.011115060702586731,177,-0.12864,-0.0672843553008596,0.03205934610890981,-502.716303,349,626
33,Apr 24,2026-04-24 10:34:25.290,0.0,,,,,0,0.03590909090909091,0.011940902443652701,176,-0.12992,-0.0671963323782235,0.0319558313758802,-502.750874,349,625
34,Apr 24,2026-04-24 10:35:03.224,0.0,,,,,0,0.03715977401129943,0.011377943972420855,177,-0.12416,-0.06685524355300859,0.031601169359652,-502.343178,349,626
35,Apr 24,2026-04-24 10:35:41.038,0.0,,,,,0,0.036188764044943825,0.01128397411863889,178,-0.12992,-0.0671651575931232,0.032087640274415095,-502.643585,349,627
36,Apr 24,2026-04-24 10:36:18.929,0.0,,,,,0,0.03814112359550562,0.010694855560201104,178,-0.1248,-0.06662051575931233,0.032558760827614115,-502.821207,349,628
37,Apr 24,2026-04-24 10:36:56.908,0.0,,,,,0,0.034577486338797814,0.012379634828295839,183,-0.1216,-0.06656,0.03163151973408295,-503.80826,350,634
38,Apr 24,2026-04-24 11:02:58.101,0.0,0.02816,0.02442666666666667,0.0036071632436953374,87.10146,6,0.03832,0.011235867772777054,192,-0.12224,-0.06740045977011494,0.0326952098442886,-503.920317,348,651
39,Apr 24,2026-04-24 11:03:36.679,0.0,,,,,0,0.03354893617021277,0.011626535615264607,188,-0.12608,-0.06806685878962536,0.033741037777129605,-502.823591,347,640
40,Apr 24,2026-04-24 11:21:32.982,0.0,0.0256,0.02208,0.003128808079764562,84.376335,6,0.02255801424211597,0.002807332050222994,9830,-0.12992,-0.07008367816091954,0.03285917913294447,-502.599478,348,10291
